epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,21730.8,0.80324,0.74156,1.30844,0.9405,0.89056,0.9424,0.57013,1.40101,0.63381,2.48374,0.005248,0.005248,0.005248
98,21958.5,0.80229,0.73393,1.30736,0.94144,0.89106,0.94137,0.56922,1.40166,0.63506,2.48752,0.0051985,0.0051985,0.0051985
99,22181.7,0.79955,0.73408,1.30635,0.94201,0.88807,0.94199,0.57027,1.40279,0.63582,2.48981,0.005149,0.005149,0.005149
100,22413.8,0.79904,0.7346,1.30599,0.9413,0.88916,0.94288,0.57097,1.40265,0.63431,2.49175,0.0050995,0.0050995,0.0050995
101,22644.6,0.79676,0.73002,1.30162,0.94039,0.89259,0.94375,0.57191,1.40298,0.63456,2.49421,0.00505,0.00505,0.00505
102,22873,0.79273,0.72855,1.30306,0.94183,0.89163,0.9441,0.57128,1.40197,0.63322,2.49531,0.0050005,0.0050005,0.0050005
103,23097.2,0.79258,0.72963,1.2971,0.90711,0.91944,0.94358,0.57211,1.40194,0.63127,2.49666,0.004951,0.004951,0.004951
104,23337.8,0.78874,0.71938,1.29739,0.9122,0.91771,0.94311,0.57179,1.40178,0.63073,2.49793,0.0049015,0.0049015,0.0049015
105,23554.4,0.78325,0.71703,1.2926,0.91943,0.9139,0.94382,0.57265,1.40202,0.63205,2.50056,0.004852,0.004852,0.004852
106,23781.3,0.78008,0.71309,1.29513,0.91895,0.91609,0.94578,0.57386,1.40239,0.63245,2.50366,0.0048025,0.0048025,0.0048025
107,24010.9,0.77993,0.71162,1.29336,0.92274,0.9149,0.94541,0.57444,1.40097,0.63254,2.50434,0.004753,0.004753,0.004753
108,24248,0.77259,0.70255,1.2896,0.93177,0.91239,0.94615,0.57481,1.40183,0.63294,2.50704,0.0047035,0.0047035,0.0047035
109,24505.1,0.77561,0.69952,1.2862,0.93358,0.91274,0.94744,0.57507,1.40272,0.63239,2.50965,0.004654,0.004654,0.004654
110,24721.3,0.77288,0.70208,1.28629,0.93357,0.91072,0.94763,0.57483,1.40328,0.63149,2.51141,0.0046045,0.0046045,0.0046045
111,24924.4,0.77131,0.69888,1.28363,0.93431,0.91105,0.94822,0.5755,1.40354,0.63063,2.51224,0.004555,0.004555,0.004555
112,25147.4,0.76623,0.68552,1.28125,0.93649,0.91093,0.94823,0.5763,1.40382,0.63015,2.51389,0.0045055,0.0045055,0.0045055
113,25365.9,0.76285,0.68274,1.27633,0.93445,0.91103,0.94799,0.57703,1.40316,0.63039,2.51441,0.004456,0.004456,0.004456
114,25580.2,0.75918,0.68459,1.27743,0.93213,0.9128,0.94795,0.57635,1.40314,0.63019,2.51628,0.0044065,0.0044065,0.0044065
115,25813.5,0.76137,0.68168,1.27605,0.93047,0.91417,0.94807,0.57679,1.40331,0.63045,2.5177,0.004357,0.004357,0.004357
116,26056.2,0.75483,0.67904,1.27196,0.93152,0.91368,0.94857,0.57863,1.40316,0.63063,2.51991,0.0043075,0.0043075,0.0043075
117,26289.3,0.75599,0.67139,1.27426,0.93082,0.91342,0.94832,0.57841,1.40339,0.63061,2.52323,0.004258,0.004258,0.004258
118,26509.7,0.74553,0.66865,1.26696,0.93223,0.91272,0.94806,0.57715,1.40288,0.63093,2.52438,0.0042085,0.0042085,0.0042085
119,26731.5,0.74741,0.66845,1.26477,0.93274,0.91345,0.94801,0.57669,1.40294,0.63116,2.52647,0.004159,0.004159,0.004159
120,26952.9,0.74565,0.66499,1.26822,0.93225,0.91428,0.94803,0.57795,1.4032,0.63132,2.52796,0.0041095,0.0041095,0.0041095
121,27194.7,0.74573,0.66221,1.26373,0.93296,0.91358,0.94837,0.57783,1.40358,0.63159,2.52992,0.00406,0.00406,0.00406
